	fc	p
AC073343.13	-3.353697927	0.14
RP11-611L7.2	-0.094210641	0.07
PMS2CL	-1.383475779	0.52
AC005532.5	-4.088673271	0.04
COL28A1	-1.347988111	0.13
RP5-1159O4.2	-0.753199513	0.56
RP5-1159O4.1	-0.363551001	0.0
UMAD1	1.657033674	0.88
AC009473.1	-1.478950856	0.42
GLCCI1	-0.372605354	0.86
AC006042.8	0.214118947	0.83
ICA1	3.101528929	0.72
AC007128.1	-4.554358012	0.34
AC060834.2	-6.64385619	0.75
HSPA8P8	-4.605848275	0.78
PHF14	1.225253639	0.78
AC004538.3	-3.981689318	0.2
AC004160.4	-6.64385619	0.05
AC073109.2	-0.823120869	0.03
TMEM106B	2.529800642	0.38
VWDE	-4.722068711	0.17
AC013470.6	-1.45911947	0.69
SCIN	-6.64385619	0.56
ARL4A	-0.222388471	0.37
RN7SKP228	-0.108390232	0.29
AC011288.2	-0.020229637	0.11
AC005019.2	-6.64385619	0.9
ETV1	2.77721196	0.02
MEOX2	1.8210926	0.09
MEOX2-AS1	-0.91764697	0.78
ISPD	0.150245139	0.51
SOSTDC1	-6.64385619	0.52
GS1-166A23.2	-1.679586827	0.25
ANKMY2	3.344433751	0.85
BZW2	4.680664631	0.49
TSPAN13	1.430669014	0.16
AC003075.4	-2.642259483	0.71
AC017060.1	-3.964377473	0.22
SNX13	2.299618026	0.27
RP11-511H23.2	-1.814798165	0.0
MACC1	-4.862195557	0.92
CTA-293F17.1	-2.237795139	0.17
AC005251.3	-1.207895506	0.77
SP4	1.468988343	0.73
DNAH11	-5.317013651	0.87
CDCA7L	2.987876262	0.49
RAPGEF5	1.897632701	0.15
STEAP1B	-4.79382442	0.56
EEF1A1P6	-1.165088173	0.73
AC002480.3	-0.784408582	0.68
AC002480.5	-6.64385619	0.92
AC002480.4	-2.141538355	0.0
AC002480.2	-4.144233077	0.73
AC073072.5	-4.204687758	0.3
AC005682.5	-0.956603011	0.7
SNORD93	-6.64385619	0.75
AC005682.6	-6.64385619	0.73
FAM126A	1.400482021	0.02
KLHL7-AS1	-4.131321982	0.48
KLHL7	3.603107135	0.85
AK3P3	3.411573415	0.29
AC005082.12	-3.335968663	0.45
GPNMB	5.124627728	0.5
MALSU1	1.601094704	0.66
RPS2P32	-1.04849995	0.53
TRA2A	2.87860236	0.59
CCDC126	0.654047865	0.38
FCF1P1	-0.893474923	0.05
FAM221A	-0.9443684	0.75
STK31	-4.670282228	0.62
MPP6	-0.185471882	0.17
DFNA5	-1.384680457	0.96
C7ORF31	-2.024075151	0.03
AC003090.1	-5.043202984	0.61
CTD-2227E11.1	-2.543417038	0.04
NFE2L3	-2.470776606	0.85
CTB-119C2.1	-0.620412436	0.5
SNX10	-2.764150837	0.7
AC004540.5	-1.95376949	0.85
RP5-1007F24.1	-4.93949659	0.5
AC004947.2	-2.834753008	0.0
HOTAIRM1	-3.463389998	1.0
HOXA-AS2	-6.64385619	0.15
EIF4HP1	-1.468779514	0.56
AC073150.6	-3.928877085	0.19
JAZF1	2.634235526	0.02
RNU6-979P	1.179807029	0.84
JAZF1-AS1	-4.662419865	0.86
CREB5	2.346299422	0.83
TRIL	0.24326	0.27
AC005013.5	-1.653695913	0.71
CTB-113D17.1	-2.668638215	0.19
AC005162.5	-2.192532543	0.74
CPVL	4.328918436	0.82
NANOGP4	0.732983166	0.05
AC007255.8	-4.268166409	0.74
PRR15	-4.628044367	0.31
ZNRF2P2	-0.684597452	0.32
DPY19L2P3	-4.252676674	1.0
SCRN1	2.567450653	0.39
MTURN	2.850914032	0.32
AC007036.4	-2.755713575	0.56
RPS27P16	-0.135264786	0.39
GS1-114I9.3	-6.64385619	0.74
AC006978.6	0.975051163	0.38
LINC01176	-0.159894246	0.69
GS1-114I9.1	-1.574807606	0.06
AC005154.6	0.798007832	0.82
AC005154.7	-1.322619229	0.56
INMT-FAM188B	-4.268166409	0.26
FAM188B	-1.916185013	0.03
AVL9	0.849184318	0.74
DPY19L1P1	1.072657584	0.99
ZNRF2P1	-2.774049796	0.7
RP11-225B17.2	1.359808965	0.99
LINC00997	-1.330496544	0.16
DPY19L1P2	-0.895642948	0.73
RP11-265E18.1	-1.831565156	0.86
KBTBD2	2.604852298	0.08
RP9P	0.648753612	0.9
NT5C3A	1.173419285	0.72
RPS29P14	0.507225502	0.95
RN7SL505P	-2.211451248	0.49
RP9	1.629211556	0.89
AC006195.2	-3.729924458	0.45
RP11-89N17.1	-1.760573509	0.08
BMPER	-5.035341303	0.35
DPY19L1	1.423133358	0.38
DPY19L2P1	2.469532414	0.09
TBX20	4.389419107	0.19
HERPUD2	2.136372637	0.13
RP11-379H18.1	0.745330988	0.46
AC018647.3	0.067198167	0.97
SEPT7-AS1	-2.194232814	0.94
SEPT7P3	1.102607818	0.21
KIAA0895	-1.305530788	0.0
ANLN	-3.05420094	0.21
AOAH	-1.242847026	0.96
AOAH-IT1	-6.64385619	0.36
MIR1200	-6.64385619	0.54
GPR141	-4.007132606	0.15
EPDR1	3.527724402	0.62
NME8	-4.847380668	0.64
SFRP4	0.807415018	0.02
TRGC2	-6.64385619	0.73
TRGC1	-6.64385619	0.13
TRGV10	-2.025156819	0.0
TRGV9	-6.64385619	0.18
RP11-121A8.1	-6.64385619	0.78
TRG-AS1	-4.21555515	0.99
VPS41	1.911130296	0.0
POU6F2	-4.027724751	0.14
YAE1D1	1.280352824	0.42
RALA	1.611405076	0.38
LINC00265	-2.044389033	0.97
RWDD4P2	-6.64385619	0.62
RP11-467D6.1	-3.457655828	0.62
MPLKIP	0.132007454	0.67
SUGCT	-0.500444678	0.57
THUMPD3P1	-4.299993571	0.03
AC004988.1	-6.64385619	0.66
AC005160.3	-6.64385619	0.69
LINC01449	-6.64385619	0.79
INHBA-AS1	-6.64385619	0.79
GLI3	-0.607128097	0.62
TCP1P1	-0.396903344	0.05
RP11-111K18.2	-1.649616008	0.88
C7ORF25	-3.04151993	0.81
AC011738.4	-5.026061082	0.5
STK17A	1.567459669	0.59
COA1	1.196389523	0.88
URGCP	1.788408672	0.41
RP5-1165K10.2	-2.985646216	0.34
AC004951.5	-2.062470997	0.97
AC004951.6	-1.32916709	0.71
RASA4CP	-3.846829261	0.17
LINC00957	-1.280060911	0.63
AEBP1	2.082424701	0.27
YKT6	1.969434584	0.55
CAMK2B	2.962856395	0.12
RP5-844F9.1	-2.488929127	0.28
NUDCD3	2.474653094	0.4
AC004453.8	0.835536105	0.88
NPC1L1	-3.66334603	0.79
DDX56	1.507300473	0.71
TMED4	3.432866946	0.61
ZMIZ2	1.427625184	0.24
PURB	2.167982613	0.08
RP4-673M15.1	-1.221982764	0.76
RP4-647J21.1	-4.588251488	0.34
MYO1G	-2.811179781	0.72
SNHG15	-1.029859572	0.68
CCM2	-0.070582125	0.55
NACAD	-1.60370432	0.82
TBRG4	1.899995081	0.73
SNORA5A	3.493939821	0.11
SNORA5C	1.820948746	0.65
SEPT7P2	0.284214645	0.25
GTF2IP13	-3.752008658	0.04
LINC01447	-6.64385619	0.95
PKD1L1	0.357774813	0.54
VWC2	1.087147525	0.24
IKZF1	-3.122408119	0.22
FIGNL1	0.057596326	0.69
COBL	2.110980888	0.33
RPL7L1P2	0.304084527	0.13
CTD-2021A8.2	-3.447842059	0.42
HAUS6P1	-4.354025882	0.38
LINC01446	-3.372030169	0.47
RP4-791C19.1	-5.414309665	0.96
EGFR-AS1	-6.64385619	0.36
LANCL2	0.592882862	0.8
VOPP1	-1.018412488	0.77
FKBP9P1	-2.581837351	0.72
PSPHP1	0.703228936	0.07
GBAS	4.789302317	0.05
CHCHD2	4.683684278	0.75
RP11-700P18.1	-6.64385619	0.76
RP13-492C18.2	-6.64385619	0.94
RP11-1217F2.1	-6.64385619	0.35
RP11-114G11.5	-0.440436091	0.0
GABPAP	-4.197762361	0.58
RP11-73B2.6	-6.64385619	0.82
TRIM60P17	-3.412526302	0.56
RP11-165H4.2	-3.646913435	0.03
TRIM60P18	0.402287525	0.87
ZNF680P1	-3.439989124	0.16
ZNF107	0.423324209	0.21
EEF1DP4	-3.670042866	1.0
RP11-797H7.5	-1.294492211	0.49
MTDHP1	-6.64385619	0.07
ZNF117	0.257150424	0.77
ERV3-1	0.882439328	0.04
CCT6P3	-1.398246874	0.65
RP11-460N20.4	-1.888653617	0.87
GTF2IP14	-6.64385619	0.42
INTS4P1	-4.891217209	0.13
RP11-479O9.4	-3.289780189	0.74
CCT6P1	-1.207895506	0.47
GTF2IP5	-3.433844322	0.6
LINC00174	-1.416754495	0.06
GTF2IP9	-0.709971127	0.06
GS1-124K5.2	0.134857583	0.89
SKP1P1	-0.194835792	0.29
RP11-792A8.1	-2.990754759	0.44
GS1-124K5.3	-0.711684477	0.88
GS1-124K5.4	-1.534549464	0.92
GS1-124K5.11	-1.055772295	0.41
RP4-756H11.5	1.685991015	0.99
GS1-124K5.12	1.443227092	0.29
RPL35P5	-6.64385619	0.67
RP4-756H11.3	-0.478873175	0.63
RP11-792A8.4	1.258831212	0.67
RP11-458F8.1	-0.286571507	0.97
GTF2IP23	-0.201818142	0.1
RP11-458F8.4	-2.734370013	0.35
TMEM248	2.905998228	1.0
SBDS	5.570600026	0.67
PMS2P4	-0.415150272	0.98
STAG3L4	1.686374334	0.68
RP11-166O4.6	-0.205235444	0.04
LINC01372	-0.673672494	0.58
TYW1B	-0.413605105	0.22
SBDSP1	2.286747079	0.29
NSUN5P2	-1.063622639	0.36
STAG3L3	-3.429965164	0.4
GTF2IP4	-2.247349055	0.86
NCF1B	-4.58307628	0.55
GTF2IRD2P1	-3.672900694	0.65
NSUN5	-1.46017662	0.59
BCL7B	2.040942637	0.57
TBL2	0.048260584	0.11
MLXIPL	-4.8340006	0.71
CTA-315H11.2	-4.759349691	0.34
DNAJC30	0.928861847	0.84
RN7SL265P	-6.64385619	0.35
ABHD11	1.136008877	0.98
WBSCR27	-4.291344527	0.89
CTB-51J22.1	-2.078147213	0.59
MIR590	0.907652252	0.59
CLIP2	-0.508758553	0.49
GTF2IRD1	1.336982931	0.67
GTF2I	1.561751146	0.98
NCF1	-6.64385619	0.6
GTF2IRD2	-2.491366348	0.35
STAG3L2	-0.869085411	0.76
PMS2P5	-0.27146092	0.55
GATSL2	-0.089923614	0.41
RCC1L	2.187045149	0.25
GTF2IRD2B	-3.103195417	0.28
NCF1C	-4.2575947	0.84
GTF2IP1	-6.64385619	0.64
PMS2P2	-2.552478618	0.68
NSUN5P1	-2.087923179	0.1
PMS2P3	-0.017132072	0.2
CTB-139P11.2	-1.228511149	0.7
CCL26	-6.64385619	0.16
CCL24	-6.64385619	0.29
RHBDD2	1.608887299	0.79
RPL7L1P3	-0.901305134	0.39
SNORA14A	0.433759055	0.34
TMEM120A	3.596322593	0.01
STYXL1	0.891046475	0.66
RP11-229D13.3	-0.322885262	0.85
SRRM3	-2.650796417	0.22
SSC4D	-3.386693943	0.21
UPK3B	-6.64385619	0.45
AC004980.7	-1.557249635	0.87
POMZP3	-2.077404914	0.91
DTX2P1-UPK3BP1-PMS2P11	-5.510281454	0.22
RP11-467H10.2	-1.720913224	0.3
SPDYE18	-3.00090863	0.72
AC007000.10	-1.955804964	0.85
FAM185BP	-0.737315664	0.28
RP11-467H10.1	-6.64385619	0.53
CCDC146	0.696780468	0.19
GSAP	0.096361208	0.99
APTR	-0.307641379	0.68
RSBN1L	1.061036367	0.23
TMEM60	0.968089121	0.34
PHTF2	1.792529889	0.66
RNU6-530P	0.186161223	0.35
MAGI2-AS3	2.046440531	0.64
SEMA3C	4.000708436	0.58
HGF	-1.085797136	0.1
CACNA2D1	4.141437663	0.76
AC006145.4	-4.931971974	0.8
PCLO	0.695137607	0.62
SEMA3D	-0.663949638	0.51
KIAA1324L	-0.101722802	0.7
AC005076.5	-0.853223112	0.91
DMTF1	2.539690414	0.68
TMEM243	-0.875921336	0.01
TP53TG1	0.569909202	0.09
ABCB4	-0.146158555	0.52
RUNDC3B	-1.980601086	0.59
SLC25A40	1.448494544	0.72
AC003991.3	-4.838911353	0.09
STEAP4	1.460327607	0.95
DPY19L2P4	-1.439194552	0.46
STEAP1	-2.657320765	1.0
CFAP69	-0.92977842	0.4
GTPBP10	0.221890273	0.7
CDK14	1.868853553	0.9
AC002456.2	-3.21164119	0.23
TVP23CP1	1.125409656	0.12
PTP4A1P3	-1.749992885	0.34
CTB-111F10.1	-2.088495997	0.63
MTERF1	0.424946833	0.95
LRRD1	-4.283255016	0.26
CYP51A1-AS1	-6.64385619	0.26
KRIT1	2.67352294	0.35
AC000120.7	-0.45122359	0.43
ANKIB1	2.507912937	0.3
GATAD1	1.857673737	0.81
AC007566.10	2.572572804	0.95
RBM48	0.835206499	0.31
FAM133B	-0.12665651	0.2
CDK6	2.27431497	0.21
RNU6-10P	-6.64385619	0.25
RN7SL7P	-0.286571507	0.76
SAMD9	0.757936169	0.4
SAMD9L	1.15958558	0.81
VPS50	1.382611265	0.46
AC002075.4	-6.64385619	0.86
TFPI2	-2.776575496	0.58
RP11-455I9.1	-2.286732152	0.01
COL1A2	3.746559148	0.87
CASD1	2.573047933	0.61
SGCE	2.021718212	0.9
PEG10	-1.20445818	0.77
PPP1R9A	3.120024184	0.75
AC002429.4	0.302149433	0.12
GS1-306C12.1	-4.829921094	0.14
AC002451.3	-1.485689872	0.39
DLX6-AS1	-6.197351347	0.6
SDHAF3	0.923146311	0.21
RPS3AP29	-3.498874606	0.27
OR7E7P	-2.404650742	0.07
OR7E38P	0.786654167	0.09
AC004967.7	0.819399094	0.27
LMTK2	2.804896761	0.76
TECPR1	-0.026761737	0.85
BAIAP2L1	-0.317948762	0.16
RPS3AP26	-6.64385619	0.16
AC091654.7	-1.42380666	0.26
NPTX2	-2.251227158	0.78
TMEM130	-5.446065499	0.05
AC004893.11	-0.399621591	0.44
PTCD1	-2.067002869	0.62
ATP5J2-PTCD1	-4.259636613	0.59
AC073063.10	-0.502718605	0.13
ZNF789	-0.579837425	0.54
FAM200A	0.582846433	0.65
ZSCAN21	0.881715585	0.37
MIR25	-6.64385619	0.08
RP11-506M12.1	-2.178162927	0.41
CNPY4	-0.094902829	0.48
MBLAC1	-3.526007082	0.7
C7ORF43	-0.321934518	0.07
GAL3ST4	-2.053545606	0.29
GPC2	-4.589969844	0.75
GATS	-0.478713522	0.89
PMS2P1	0.35772024	0.24
STAG3L5P	0.558910532	0.65
STAG3L5P-PVRIG2P-PILRB	-3.489182809	0.31
ZCWPW1	-1.351594407	0.96
MEPCE	1.663488309	0.07
RP11-758P17.2	-1.425212739	0.7
PPP1R35	0.467149273	0.47
C7ORF61	-4.04315819	0.39
TSC22D4	1.60738229	0.33
NYAP1	-6.64385619	0.49
AGFG2	0.413223465	0.08
RP11-44M6.7	-3.062834293	0.56
LRCH4	-1.03961328	1.0
FBXO24	-6.64385619	0.11
PCOLCE-AS1	-2.589602247	0.32
MOSPD3	-0.068232023	0.53
GIGYF1	1.80705128	0.17
SLC12A9	-1.384206612	0.81
TRIP6	1.163409534	0.31
UFSP1	-2.382867381	0.04
MUC3A	-1.293926698	0.71
ZNHIT1	0.937550914	0.2
IFT22	0.705556962	0.36
COL26A1	-4.373797593	0.21
CTB-181H17.1	-0.340019319	0.11
PRKRIP1	0.916297412	0.04
RP11-163E9.2	-0.784075402	0.36
ALKBH4	-0.334831948	0.25
LRWD1	-0.735743366	0.11
POLR2J3	-3.336606471	0.87
UPK3BL	-2.090556091	0.72
POLR2J2	-3.356208999	0.55
FAM185A	0.554982647	0.82
RP11-577H5.1	-3.539737555	0.29
LRRC17	0.323046632	0.2
ARMC10	0.209236845	0.76
CRYZP1	-2.313792731	0.68
RP11-401L13.4	-1.257218384	0.66
DPY19L2P2	-1.534549464	0.18
RPS29P16	-0.482659609	0.82
EIF4BP6	-2.815821947	0.63
RN7SL8P	0.455133975	0.22
RP11-325F22.2	-3.870919313	0.87
LINC01004	0.176647065	0.84
KMT2E-AS1	-0.99466997	0.65
CTB-152G17.6	-1.173856117	0.15
SRPK2	2.292968501	0.12
RP11-251G23.2	-6.64385619	0.11
RP11-251G23.5	-2.034852437	0.5
YBX1P2	-0.225131475	0.15
ATXN7L1	-0.167971227	0.64
CDHR3	-1.868215786	0.94
RP4-568B10.1	-6.64385619	0.96
SYPL1	3.617615006	0.19
RP11-22N19.2	-2.713455498	0.26
CTB-30L5.1	-2.124092858	0.33
CCDC71L	-0.094379282	0.7
HBP1	2.947553107	0.86
CTA-363E19.2	0.559364845	0.31
GPR22	3.36883127	0.51
DUS4L	-0.174083561	0.68
RP4-593H12.1	-1.995085789	0.14
BCAP29	3.195030914	0.77
SNOU109	2.438086977	0.24
WBP1LP2	-1.42380666	0.39
SLC26A4-AS1	-3.60853287	0.76
SLC26A4	-1.161979044	0.41
AC002467.7	-0.546957887	0.46
CTB-13F3.1	-1.738882425	0.14
LAMB4	-4.803964126	0.57
RPL7P32	-6.64385619	0.86
THAP5	1.899735815	0.84
IMMP2L	0.191601025	0.34
AC073326.3	-3.079246364	0.71
LRRN3	-2.463789463	0.47
RNA5SP237	-0.878516686	0.17
AC003080.4	0.430020148	0.61
ZNF277	1.367521445	0.06
IFRD1	1.82975824	0.15
LSMEM1	-0.237918616	0.28
MIPEPP1	-0.954542429	0.81
TMEM168	2.092946413	0.1
HRAT17	3.775267997	0.89
GPR85	-2.170732651	0.68
LINC00998	3.824828438	0.16
PPP1R3A	4.985457524	0.56
FOXP2	-1.784166843	0.11
CTA-250D13.1	-3.079246364	0.59
MDFIC	2.987032745	0.45
LINC01393	-6.64385619	0.32
TFEC	-2.493978982	0.97
RP11-667F14.1	-3.482675983	0.37
TES	1.713882234	0.32
AC073130.3	-1.560756959	0.23
AC002066.1	-0.606891502	0.56
AC073130.1	-0.985859754	0.08
LINC01510	-6.64385619	0.92
ST7-AS1	-3.240336959	0.07
ST7	1.655843722	0.65
ST7-OT4	0.847335109	0.42
ST7-OT4_2	0.818757395	0.0
CFTR	-6.64385619	0.72
CTTNBP2	-1.813809208	0.18
ANKRD7	-6.64385619	0.32
TSPAN12	3.09674813	0.36
CPED1	3.421457147	0.17
RP5-1049N15.2	-0.828225793	0.16
RP11-560I19.1	-2.859084252	0.78
FEZF1-AS1	-6.64385619	0.76
CADPS2	0.750158249	0.83
RNF133	-1.726071731	0.0
RNF148	-1.582610844	0.24
IQUB	-2.289645959	0.53
RP11-390E23.3	-2.739447538	0.13
LMOD2	7.940865448	0.39
WASL	2.813454336	0.66
RP11-390E23.6	-0.347236667	0.44
HYALP1	-2.024075151	0.25
HYAL4	-0.623632682	0.28
TMEM229A	-6.64385619	0.61
POT1-AS1	-2.533644395	0.33
EEF1GP1	-2.743339474	0.71
AC000374.1	-0.0838601	0.91
ZNF800	2.132336654	0.01
AC000123.3	0.980489646	0.86
AC000123.2	0.963755019	0.29
FSCN3	-4.394583964	0.11
SND1	2.736663138	0.28
SND1-IT1	-1.082995933	0.98
LRRC4	-0.717963037	0.52
PRRT4	-2.825687266	0.15
METTL2B	0.757581217	0.32
RP11-212P7.2	-2.215748727	0.35
RP11-274B21.1	0.621389616	0.43
RP11-274B21.14	-0.714250566	0.48
RP11-274B21.13	0.788840103	0.45
RP11-274B21.2	1.111717033	0.09
RP11-274B21.4	0.728421273	0.31
RP11-274B21.3	0.367695717	0.99
RP11-274B21.10	0.845801904	0.91
FAM71F2	-0.98928036	0.61
RP11-274B21.9	0.144365444	0.45
RN7SL81P	0.482312588	0.88
OPN1SW	-6.64385619	0.01
CCDC136	-0.797096155	1.0
KCP	-6.64385619	0.67
RP11-309L24.4	-2.142599	0.73
RP11-309L24.6	-6.64385619	0.88
RP11-309L24.10	-1.66434756	0.65
TNPO3	2.63004674	0.28
TPI1P2	-2.94730216	0.11
RP11-286H14.4	-2.006647773	0.66
SMO	-0.077521685	0.31
RP11-305M3.2	-6.64385619	0.62
STRIP2	2.316036378	0.27
SNRPGP3	-1.858372894	0.23
RP11-448A19.1	-0.624026913	0.58
ZC3HC1	1.271742775	0.33
KLHDC10	2.51208409	0.86
TMEM209	1.362282994	0.89
CPA4	-6.64385619	0.74
MESTIT1	-6.64385619	0.57
MEST	-1.631836219	0.63
RP11-2E11.6	-4.925517551	0.71
RP11-2E11.9	-6.64385619	0.12
AC009274.6	-1.572917335	0.45
KLF14	-6.64385619	0.96
RP11-36B6.1	-2.25940195	0.61
AC016831.7	-3.561998522	0.69
MIR29A	1.349143769	0.02
RP11-138A9.1	2.65328566	0.08
RP11-138A9.2	-4.388895367	0.92
LINC-PINT	3.220944411	0.33
RNU6-1010P	1.179807029	0.41
MKLN1	3.019772849	0.73
AC009362.2	-2.656488689	0.36
MKLN1-AS	-2.594604849	0.4
RP11-180C16.1	-1.014128216	0.64
PODXL	4.089902122	1.0
RP11-371A22.1	0.693374576	0.38
LRGUK	-3.927748286	0.91
RP11-38M8.1	-4.057224851	0.43
TUBB3P2	-0.915614721	0.92
C7ORF49	0.612963282	0.95
TMEM140	2.134947993	0.34
RP11-134L10.1	-0.142761172	0.8
WDR91	-0.104373709	0.45
C7ORF73	1.955026277	0.19
RP11-644N4.1	-0.00133259	0.94
FAM180A	2.36993395	0.37
MTPN	4.041935522	1.0
MIR490	2.377103129	0.15
PTN	3.402765691	0.82
AC090498.1	-2.659813731	0.25
TRIM24	1.245822592	0.62
KIAA1549	-1.056072207	0.23
ZC3HAV1L	-0.200192017	0.58
ZC3HAV1	1.185160417	0.36
RP11-383F6.1	-0.584260613	0.0
UBN2	2.071703592	0.14
FMC1	0.560513554	0.22
LUC7L2	1.86770199	0.22
RP11-634H22.1	-6.64385619	0.39
CLEC2L	-6.64385619	0.66
PARP12	0.912211483	0.65
KDM7A	2.007763137	0.82
JHDM1D-AS1	0.463534011	0.21
SLC37A3	-0.047941301	0.53
ADCK2	-0.616905642	0.67
NDUFB2-AS1	-3.060930158	0.04
BRAF	2.334459378	0.54
TMEM178B	2.396237479	0.85
NDUFB10P2	1.267955648	0.36
AGK	1.966483541	0.27
RP5-894A10.2	-0.07359795	0.06
KIAA1147	1.57488268	0.23
RP5-894A10.6	0.824638538	0.46
WEE2-AS1	-2.59975372	0.53
TAS2R6P	-0.939807634	1.0
MYL6P4	-6.64385619	0.48
OR9A3P	-6.64385619	0.43
MGAM2	-5.845430541	0.87
MTRNR2L6	1.150476641	0.64
TRBC2	-2.124928838	0.39
TRBC1	-3.483800475	0.14
RP11-556I13.2	-2.493348831	0.94
AC073342.12	-1.580462698	0.53
TMEM139	-0.482104904	0.5
RN7SL535P	-1.25959908	0.83
RN7SL481P	-0.700509939	0.88
FAM131B	-4.712193456	0.52
AC093673.5	0.172859211	0.52
ZYX	2.196735739	0.01
EPHA1-AS1	-6.64385619	0.01
TCAF1P1	-1.834893595	0.46
TCAF2	-4.718132501	0.73
RP11-61L23.2	-6.64385619	0.87
TCAF1	1.709513338	0.13
OR2A1-AS1	-6.64385619	0.41
ARHGEF34P	-6.64385619	0.51
EEF1A1P10	-2.139060199	0.02
AC006007.1	-2.399239067	0.31
CNTNAP2	-5.153243525	0.07
RP5-1136G13.2	-3.061331275	0.1
RNY3	-6.64385619	0.46
RNY1	5.398835487	0.23
GHET1	-6.64385619	0.79
PDIA4	2.170676973	0.75
ZNF783	-1.242532932	0.3
RP4-800G7.2	-1.773357367	0.01
ZNF767P	1.473552219	0.29
ZNF862	0.017184837	0.39
RP4-751H13.5	-0.961226586	0.62
RP4-751H13.7	-4.204975272	0.68
ATP6V0E2-AS1	-1.094423226	0.8
RP11-445N20.2	-2.30871595	0.87
ACTR3C	-3.034160907	0.21
LRRC61	-1.462127262	0.64
ZBED6CL	-2.212859242	0.8
RP4-584D14.7	-3.60676831	0.7
REPIN1	2.297367346	0.26
LINC00996	-4.725823686	0.9
GIMAP8	3.531131499	0.91
GIMAP7	2.391208016	0.51
GIMAP4	2.937027745	0.66
GIMAP6	2.345617284	0.19
GIMAP2	-0.017083428	0.98
GIMAP1	0.128514633	0.69
GIMAP5	0.275568748	0.62
TMEM176B	4.365915106	0.12
TMEM176A	1.486509451	0.41
NOS3	1.642214676	0.83
RP11-148K1.12	-4.0818758	0.31
FASTK	1.676782189	0.4
TMUB1	0.4157921	0.66
AGAP3	-0.048308042	0.15
GBX1	-6.64385619	0.03
ABCF2	2.326307161	0.09
RP4-548D19.3	-1.216103297	0.4
NUB1	2.377078937	0.29
WDR86	-6.64385619	0.97
PRKAG2-AS1	-1.892241756	0.62
RP5-981O7.2	-1.439889903	0.43
YBX1P4	-6.64385619	0.3
RP11-208G20.2	0.433759055	0.99
LINC01003	-0.843618202	0.13
ACTR3B	-1.393745782	0.43
DPP6	-6.64385619	0.03
PAXIP1-AS2	0.00585319	0.14
RP11-5C23.1	-0.278455192	0.95
RP11-5C23.2	-1.854283311	0.8
PAXIP1-AS1	-1.282246434	0.05
AC144652.1	-3.56827969	0.41
AC009403.2	-1.703389105	0.35
RBM33	1.811854876	0.52
LINC01006	-2.375984491	0.66
RNF32	-3.661713583	0.54
LMBR1	1.698861166	0.96
NOM1	0.932073595	0.07
RPS27AP12	-0.602198652	0.49
AC005481.5	-5.186647379	0.03
AC011899.9	-4.800548633	0.43
NCAPG2	-0.702813556	0.08
LINC00689	-4.541519737	0.92
PLCXD1	-2.094532852	0.12
GTPBP6	1.353005148	0.88
LINC00685	-0.484322408	0.74
LINC00106	-0.467124491	0.08
ASMTL-AS1	-0.280180748	0.63
ASMTL	1.682940486	0.5
P2RY8	0.671836388	0.55
AKAP17A	1.118790586	0.11
DHRSX	1.597738094	0.8
DHRSX-IT1	-1.795681971	0.49
CD99P1	-0.784314883	0.66
XG	-1.883654094	0.2
GYG2	-4.067485674	0.41
ARSD	0.668251806	0.67
ARSE	-4.267357247	0.97
MXRA5	2.812963032	0.42
RP11-706O15.1	-0.988817417	0.2
RP11-706O15.3	-6.64385619	0.54
RP11-706O15.5	-6.64385619	0.24
RP11-555H23.1	-4.247733861	0.72
RP11-733O18.1	-3.799524843	0.27
PUDP	1.210645362	0.63
STS	0.829583882	0.69
RP11-692P14.1	-0.531705483	0.62
MIR651	-0.662011033	1.0
ANOS1	0.998757783	0.77
SHROOM2	-2.539111011	0.07
EIF5P1	-4.082849634	0.72
WWC3	2.91315328	0.74
RP11-120D5.1	-3.862148743	0.61
HCCS	3.031231454	0.03
AC002366.3	-3.16616403	0.89
FRMPD4	-0.032323902	0.22
FAM9C	-2.904090346	0.18
GS1-600G8.5	-6.64385619	0.06
GPX1P1	-1.695808646	0.64
TCEANC	-0.686649219	0.09
GPM6B	-0.749689084	0.4
NPM1P9	-6.64385619	0.22
VEGFD	-0.437134907	0.46
CA5BP1	0.277586697	0.56
RP11-759L5.2	-3.828402175	0.83
SYAP1	1.782934745	0.13
TXLNG	1.156103988	0.79
NHS	-1.359358098	0.06
RP1-60N8.1	-2.59684965	0.39
SCML1	0.765759657	0.31
RAI2	1.434153258	0.42
RP1-272E8.2	-6.64385619	0.81
LINC01456	-6.64385619	0.65
BEND2	-5.441509869	0.67
SCML2	-2.149929468	0.68
CDKL5	1.154112636	0.81
GJA6P	-0.628341088	0.21
PHKA2-AS1	-1.8916444	0.03
ADGRG2	-3.620683533	0.91
CXORF23	1.190378381	0.56
MAP7D2	-2.898762605	0.68
MIR23C	-6.64385619	0.44
SNOU2-30	-6.64385619	0.16
SNOU2_19	0.602496823	0.41
KLHL34	0.286474704	0.14
SMPX	7.116629533	0.53
YY2	-1.755598749	0.47
PHEX	-6.64385619	0.08
FAM3C2	-2.417413718	0.42
PTCHD1	-4.559628712	0.98
APOO	2.568788798	0.26
CXORF58	-4.596241997	1.0
KLHL15	1.350245726	0.25
ZFX	2.200571814	0.9
GS1-358P8.4	1.47314189	0.39
SCARNA23	-1.07672075	0.62
EEF1B2P3	1.101452104	0.35
